77.69 28.73
39.51 -77.72 28.74
39.51 -77.75 28.75
39.52 -77.76 28.76
39.52 -77.79 28.76
39.53 -77.81 28.77
39.54 -77.82 28.78
39.57 -77.83 28.78
39.58 -77.85 28.79
39.58 -77.87 28.80
39.59 -77.88 28.81
39.58 -77.92 28.82
39.58 -77.95 28.82
39.57 -77.98 28.83
39.58 -78.00 28.84
39.61 -78.00 28.85
39.63 -78.01 28.85
39.64 -78.02 28.86
39.66 -78.03 28.87
39.66 -78.06 28.87
39.66 -78.09 28.88
39.66 -78.12 28.89
39.66 -78.15 28.90
39.68 -78.15 28.90
39.69 -78.16 28.91
39.70 -78.18 28.92
39.71 -78.20 28.93
39.70 -78.23 28.93
39.74 -78.23 28.94
39.74 -78.26 28.95
39.73 -78.28 28.96
39.74 -78.31 28.96
39.74 -78.34 28.97
39.75 -78.36 28.98
39.77 -78.36 28.99
39.77 -78.38 28.99
39.78 -78.40 29.00
39.80 -78.41 29.01
39.80 -78.44 29.02
39.82 -78.45 29.02
39.82 -78.47 29.03
39.82 -78.49 29.04
39.84 -78.50 29.05
39.83 -78.54 29.05
39.84 -78.55 29.06
39.86 -78.57 29.07
39.86 -78.59 29.08
39.87 -78.61 29.08
39.89 -78.62 29.09
39.89 -78.63 29.10
39.89 -78.67 29.10
39.80 -78.49 29.11
39.78 -78.56 29.12
39.74 -78.73 29.12
39.71 -78.78 29.12
39.64 -78.78 29.13
39.55 -78.77 29.14
39.44 -78.87 29.14
39.41 -78.87 29.15
39.37 -78.96 29.16
39.34 -78.95 29.17
39.38 -78.65 29.18
39.26 -78.40 29.18
39.47 -78.82 29.19
39.28 -78.34 29.19
39.42 -78.97 29.20
39.41 -79.29 29.23
39.37 -79.26 29.25
39.32 -79.17 29.26
39.30 -79.17 29.25
39.38 -79.22 29.26
39.37 -79.23 29.26
39.42 -78.98 29.26
39.51 -79.04 29.27
39.53 -79.15 29.28
39.60 -79.16 29.28
39.67 -79.13 29.29
39.69 -79.19 29.29
39.88 -78.98 29.30
39.91 -79.04 29.31
39.96 -79.06 29.32
40.07 -78.98 29.33
40.16 -79.23 29.34
40.26 -79.28 29.35
40.25 -79.20 29.36
40.44 -79.29 29.37
40.62 -79.02 29.38
40.42 -78.13 29.38
40.49 -79.23 29.39
40.43 -79.37 29.40
40.29 -79.37 29.40
40.23 -79.39 29.41
40.17 -79.36 29.41
40.21 -79.42 29.41
40.34 -79.38 29.41
40.29 -79.44 29.41
40.17 -79.50 29.42
40.10 -79.37 29.42
40.13 -79.44 29.43
40.11 -79.29 29.44
40.03 -79.27 29.45
40.05 -79.40 29.46
40.04 -79.31 29.47
39.69 -79.46 29.48
39.43 -79.66 29.49
39.24 -79.74 29.50
39.27 -79.61 29.51
39.17 -79.59 29.51
38.87 -79.50 29.52
38.67 -79.61 29.52
38.44 -79.37 29.53
38.44 -79.39 29.54
38.29 -79.48 29.55
38.03 -79.59 29.56
37.82 -79.74 29.57
37.67 -79.74 29.58
37.49 -79.74 29.59
37.51 -79.72 29.59
37.39 -79.78 29.60
37.29 -79.81 29.60
37.24 -79.70 29.61
37.16 -79.68 29.61
37.20 -79.61 29.62
37.30 -79.51 29.63
37.38 -79.53 29.64
37.31 -79.66 29.65
37.19 -79.70 29.66
37.08 -79.79 29.66
37.05 -79.72 29.67
37.13 -79.77 29.67
37.13 -79.85 29.68
37.18 -79.79 29.69
37.04 -79.80 29.69
37.07 -79.86 29.70
37.24 -79.79 29.72
37.30 -79.76 29.73
36.93 -79.79 29.74
37.03 -79.85 29.74
37.28 -80.01 29.75
37.49 -79.94 29.77
37.65 -79.84 29.78
37.90 -79.83 29.78
37.68 -80.06 29.79
37.72 -79.95 29.80
37.91 -80.09 29.81
37.98 -80.16 29.81
37.91 -80.09 29.82
38.09 -80.07 29.83
38.02 -80.00 29.84
38.24 -79.91 29.85
38.43 -80.07 29.85
38.57 -79.93 29.86
38.70 -79.89 29.87
38.61 -80.14 29.87
38.77 -80.22 29.88
38.92 -80.29 29.88
39.22 -80.44 29.88
39.38 -80.40 29.89
39.30 -80.37 29.90
39.43 -80.39 29.90
39.54 -80.42 29.90
39.65 -80.36 29.91
39.80 -80.45 29.93
40.10 -80.60 29.95
40.20 -80.61 29.96
40.25 -80.55 29.97
40.31 -80.52 29.98
40.42 -80.56 29.99
40.59 -80.59 30.01
40.73 -80.77 30.01
40.89 -80.89 30.01
40.83 -80.77 30.02
40.73 -80.68 30.03
40.87 -80.71 30.04
40.93 -80.77 30.05
40.95 -80.78 30.06
41.05 -80.65 30.07
41.19 -80.46 30.07
41.18 -80.82 30.07
41.21 -80.59 30.08
41.21 -80.89 30.08
41.38 -80.69 30.09
41.12 -80.80 30.09
41.26 -80.74 30.10
41.33 -80.78 30.10
41.40 -80.73 30.11
41.19 -80.94 30.12
41.23 -80.81 30.13
40.96 -80.95 30.14
40.95 -80.95 30.14
40.85 -81.03 30.15
40.87 -80.90 30.16
40.72 -80.93 30.17
40.47 -80.92 30.18
40.21 -80.92 30.19
40.15 -80.88 30.19
40.05 -80.99 30.20
39.89 -80.97 30.21
39.73 -81.03 30.22
39.46 -81.19 30.23
39.31 -81.19 30.24
39.08 -81.23 30.25
38.82 -81.35 30.25
38.73 -81.29 30.26
38.54 -81.24 30.27
38.35 -81.33 30.28
38.18 -81.36 30.29
37.98 -81.40 30.30
37.82 -81.35 30.31
37.58 -81.27 30.31
37.32 -81.44 30.32
37.29 -81.24 30.32
37.14 -81.33 30.33
36.96 -81.48 30.34
36.77 -81.48 30.34
36.84 -81.56 30.35
36.76 -81.61 30.35
36.63 -81.63 30.36
36.56 -81.73 30.36
36.56 -81.72 30.36
36.50 -81.72 30.37
36.53 -81.72 30.38
36.53 -81.54 30.39
36.45 -81.66 30.40
36.53 -81.68 30.42
